Region,Subject,Item,zval_1,zval_srp,pval_1,pval_srp,SE_1,SE_srp,1,srp,s_1,s_srp,i_1,i_srp,AIC,BIC,Condition,z_srp,logRT,ReadingTime,est_1,est_srp,res_1,res_srp,coef_1,coef_intercept_srp
postpostcritical,1.0,1.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,0.030071440589943717,-0.0006596273658441687,-222.94628159686073,-175.59525576911344,A,-0.4360634340812784,5.673323267171493,291,6.086400511046348,6.084576274170634,-0.4130772438748549,-0.41125300699914114,6.086400511046348,6.090583931927663
postpostcritical,1.0,3.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,-0.10867119295814916,0.0023837398989823874,-222.94628159686073,-175.59525576911344,A,0.2174045938244834,5.905361848054571,367,5.947657877498255,5.9492290144398225,-0.04229602944368427,-0.0438671663852519,5.947657877498255,5.954884665644396
postpostcritical,1.0,4.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,0.2359560533989309,-0.005175776979922002,-222.94628159686073,-175.59525576911344,A,-1.170032388876974,6.424869023905388,617,6.292285123855335,6.292674427249377,0.1325839000500535,0.13219459665601097,6.292285123855335,6.291952395122572
postpostcritical,1.0,10.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,0.12974938166791633,-0.002846097199551473,-222.94628159686073,-175.59525576911344,A,-0.4360634340812784,6.111467339502679,451,6.18607845212432,6.1852076547928085,-0.07461111262164177,-0.07374031529012992,6.18607845212432,6.188075403171928
postpostcritical,1.0,13.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,0.04970736023792546,-0.0010903479997487978,-222.94628159686073,-175.59525576911344,A,-0.9570555935141343,6.210600077024653,498,6.1060364306943296,6.102444887931763,0.10456364633032322,0.10815518909288979,6.1060364306943296,6.10978913094174
postpostcritical,1.0,16.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,-0.08893318130709399,0.001950779841965997,-222.94628159686073,-175.59525576911344,A,-0.9570555935141343,5.929589143389895,376,5.96739588914931,5.960893817975239,-0.03780674575941578,-0.03130467458534447,5.96739588914931,5.974189717238436
postpostcritical,1.0,17.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,-0.038060264424101126,0.0008348649573442114,-222.94628159686073,-175.59525576911344,A,-0.4360634340812784,5.966146739123692,390,6.018268806032303,6.015792875701932,-0.052122066908610876,-0.049646136578239464,6.018268806032303,6.023946719236807
postpostcritical,1.0,30.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,0.002334274499186099,-5.120311195102025e-5,-222.94628159686073,-175.59525576911344,A,0.2174045938244834,5.983936280687191,397,6.0586633449555904,6.05970511410088,-0.0747270642683997,-0.07576883341368923,6.0586633449555904,6.0634551900907985
postpostcritical,1.0,35.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,0.15936040093493306,-0.0034956250657221088,-222.94628159686073,-175.59525576911344,A,-0.9570555935141343,6.016157159698354,410,6.215689471391337,6.2143999124987115,-0.19953231169298302,-0.19824275280035764,6.215689471391337,6.217036894572774
postpostcritical,1.0,47.0,185.35026443060295,1.1657770145505415,0.0,0.24370461280642747,0.031066380028425742,0.010414156557323945,5.758161753170314,0.012140584340459053,0.2981673172860901,-0.007297536093299537,0.02101828137405907,-0.0004610432126081289,-222.94628159686073,-175.59525576911344,A,-0.6943667526741918,6.393590753950631,598,6.077347351830463,6.074304633224419,0.3162434021201683,0.3192861207262121,6.077347351830463,6.081729356865014
